Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772145148037,113981.43603515625,5450,0,0.26249999999999996,869434.2327880859,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,0.9131393432617188,66.09123992919922,0.39636993408203125,0.27660369873046875,0.4965972900390625,0.6882400512695313,0.391571044921875,0.13492584228515625,0.1613311767578125,0.21070098876953125,0.31267547607421875,0.11016845703125,8.161361694335938,0.05694580078125,0.08345794677734375,0.16239166259765625,0.107391357421875,0.23261260986328125,0.13665008544921875,1.0373077392578125,1.376251220703125,0.13884735107421875,0.1478118896484375,7.0838775634765625,0.1411895751953125,0.11203765869140625,0.33036041259765625,0.102081298828125,0.14087677001953125,0.0956268310546875,0.16809844970703125,0.10817718505859375,8188,240,590006,42,0,33514618880,35903139840,11167105024,0
199,1772145148038,92251.80876159668,5350,0,0.21875,869434.830291748,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,41.5095100402832,11.3951416015625,4.87420654296875,0,3.8145980834960938,7.569000244140625,2.4672012329101563,0,12.738410949707031,3.8871612548828125,0,0,64.31134033203125,0,0,0,0,0,0,29.389549255371094,13.745246887207031,0,0,10.863273620605469,0,0,0,0,0,0,0,0,8188,240,590006,42,0,33514618880,35903139840,11167657984,0
200,1772145148238,113982.98054504395,5175,0,0.34375,869442.7082672119,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,12.12005615234375,39.05589294433594,0.959014892578125,3.6112899780273438,2.4720382690429688,5.5264739990234375,0.08829498291015625,0.8592758178710938,0.6479415893554688,0.4109649658203125,0,0.01004791259765625,63.014530181884766,0.8929214477539063,0.04329681396484375,0.6544952392578125,0.8750228881835938,0.4314117431640625,0.1059417724609375,8.126754760742188,8.694099426269531,0.1131439208984375,0.0339508056640625,14.523948669433594,0.5244522094726563,0.873077392578125,0.1070404052734375,0.182830810546875,0.16463470458984375,0.12908935546875,0.4683074951171875,0.15303802490234375,8188,240,590006,42,0,33514618880,35903139840,11407314944,0
200,1772145148438,113983.57884216309,5175,0,0.34999999999999987,869450.2433319092,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,0.8706436157226563,100,0.2546234130859375,3.7609786987304688,0.0400543212890625,6.9734039306640625,0,0.8730926513671875,0.113372802734375,0.104583740234375,0.446807861328125,0.14488983154296875,3.1426010131835938,0,0,0,0,0.0771636962890625,0,0.913299560546875,0.38213348388671875,0,0,40.1373405456543,0.0186309814453125,0.0382080078125,0.0818634033203125,0.02442169189453125,0.47942352294921875,0,0.00080108642578125,0.23079681396484375,8188,240,18719,42,0,33514618880,35903139840,11482624000,0
199,1772145148639,92255.42202758789,5150,0,0.34375,869458.2402496338,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,11.630966186523438,27.343978881835938,0.9857711791992188,3.60638427734375,3.8881988525390625,5.460792541503906,0.9472579956054688,2.0452804565429688,0.8704376220703125,1.6950454711914063,0.7386322021484375,0.4567108154296875,9.434326171875,0.7111663818359375,1.22723388671875,0.6955947875976563,1.170318603515625,0.9724349975585938,1.8581466674804688,7.038017272949219,10.289787292480469,0.7600250244140625,0.6637496948242188,70.38668823242188,0.8805389404296875,2.1305084228515625,0.772613525390625,1.2631149291992188,0.7652511596679688,0.9778060913085938,0.340484619140625,0.8310775756835938,8188,240,18719,42,0,33514618880,35903139840,11533869056,0
200,1772145148839,92256.15731811523,4975,0,0.34375,869466.400466919,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,4.487602233886719,43.35570526123047,0.60455322265625,4.306846618652344,2.2063217163085938,8.200019836425781,0.5601425170898438,1.4940719604492188,0.210205078125,0.5773086547851563,0.0534515380859375,0.1035003662109375,0.0341339111328125,1.0245132446289063,0.517120361328125,0.1243133544921875,0.139984130859375,0.5677261352539063,1.4323883056640625,4.4397430419921875,13.936309814453125,0.08753204345703125,0.10720062255859375,97.1174545288086,0.33746337890625,0.09252166748046875,0.6903915405273438,0.12725830078125,0.142730712890625,0.133544921875,0.3819732666015625,0.1295013427734375,8188,240,18719,42,0,33514618880,35903139840,11566034944,0
199,1772145149039,92256.7152709961,5000,0,0.34999999999999987,869473.7418212891,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,28.553909301757813,2.9854965209960938,0.34420013427734375,2.1047515869140625,0.541839599609375,3.29278564453125,0.192901611328125,0.6822128295898438,0.1382293701171875,0.13738250732421875,0.40216064453125,1.2138214111328125,0.07512664794921875,0.1298980712890625,0.15319061279296875,0.1973876953125,0.10071563720703125,0.10216522216796875,0.115081787109375,1.541961669921875,0.9149169921875,0.09871673583984375,0.09867095947265625,99.852294921875,0.0909881591796875,0.1419677734375,0.6264419555664063,0.0942840576171875,0.5988540649414063,1.34796142578125,0.27321624755859375,0.13059234619140625,8188,240,18812,42,0,33514618880,35903139840,11577774080,0
199,1772145149240,92257.48921203613,5300,0,0.30000000000000004,869481.4333343506,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2.9672393798828125,53.196815490722656,0.0005035400390625,4.071311950683594,2.3245162963867188,6.133323669433594,0.31595611572265625,0.9387130737304688,0.2391815185546875,1.018341064453125,0,0.07392120361328125,0.35684967041015625,0,0,0.562347412109375,0.3666534423828125,0.1678619384765625,0,1.9972457885742188,2.7584381103515625,0.14764404296875,0.38066864013671875,94.39013671875,0,0,0.48076629638671875,0.26355743408203125,0.5522842407226563,0,0.00720977783203125,0.04975128173828125,8188,240,18812,42,0,33514618880,35903139840,11596484608,0
199,1772145149440,92258.2706451416,5150,0,0.34999999999999987,869489.2758789063,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,10.829986572265625,26.347885131835938,0.931732177734375,5.061187744140625,3.7893218994140625,7.1857452392578125,1.1183929443359375,1.7584762573242188,0.6937942504882813,1.3487319946289063,0.46604156494140625,0.448944091796875,5.263404846191406,1.0740280151367188,0.82232666015625,1.084259033203125,0.7934112548828125,0.5787200927734375,0.6445541381835938,8.890708923339844,7.285560607910156,0.5900497436523438,0.5119476318359375,78.37918090820313,0.5811538696289063,1.4255905151367188,0.9464340209960938,0.5750961303710938,1.8098983764648438,1.3516616821289063,0.5568084716796875,0.5576553344726563,8188,240,18938,42,0,33514618880,35903139840,11633565696,0
199,1772145149640,47633.38818359375,4950,0,0.40625,869497.3705596924,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,5.2371826171875,45.47581481933594,0.331512451171875,6.868507385253906,1.0816268920898438,15.161506652832031,0.30657958984375,4.042236328125,0,0,0,0,3.4417877197265625,0,0,0.00971221923828125,0.3024749755859375,0,0,4.179084777832031,3.4517440795898438,0,0,70.94205474853516,0.10736846923828125,0,0.11843109130859375,0.4299163818359375,0,0,0,0,8188,240,18938,42,0,33514618880,35903139840,11654676480,0
