Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772138243726,64381.37576293945,5350,0,0.25624999999999987,637597.4666900635,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,74.8083267211914,12.091484069824219,1.7723007202148438,3.1147079467773438,4.00531005859375,6.1738739013671875,1.1351852416992188,0.8928070068359375,1.2670135498046875,1.8111343383789063,1.144012451171875,0.980682373046875,17.69251251220703,0.34229278564453125,0.2853851318359375,0.15234375,0.1379852294921875,0.345458984375,0.39837646484375,50.715301513671875,7.834098815917969,0.13933563232421875,0.2823028564453125,12.874313354492188,0.2796783447265625,0.39139556884765625,1.19012451171875,0.66357421875,0.49494171142578125,0.6295700073242188,0.20883941650390625,0.26537322998046875,8188,240,590006,41,0,33514618880,35903139840,10932125696,0
200,1772138243726,34620.934310913086,5350,0,0.2437499999999999,637598.0870361328,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,60.289100646972656,4.966529846191406,9.140426635742188,10.466728210449219,8.28070068359375,5.787567138671875,5.7315216064453125,3.5518035888671875,3.6125946044921875,3.7420654296875,30.08100128173828,15.491676330566406,57.9554443359375,4.390220642089844,3.5825958251953125,3.4294357299804688,3.4294357299804688,3.42864990234375,3.42864990234375,47.40266036987305,37.758548736572266,3.5636444091796875,3.5636444091796875,11.782768249511719,5.466255187988281,6.477561950683594,3.929962158203125,3.760223388671875,3.4625930786132813,3.4618072509765625,3.4625930786132813,3.4618072509765625,8188,240,590006,41,0,33514618880,35903139840,10932236288,0
199,1772138243926,62361.83866882324,4975,0,0.4312499999999999,637606.7473449707,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,24.845245361328125,24.705406188964844,0.42363739013671875,4.682373046875,5.221580505371094,5.374542236328125,1.6760940551757813,1.8213043212890625,0.22129058837890625,0.21631622314453125,1.0343475341796875,0.291107177734375,74.7586669921875,2.8244247436523438,1.8709793090820313,0.2006072998046875,0.49932098388671875,0.4154815673828125,0.5873947143554688,42.71533966064453,16.374961853027344,1.2747344970703125,0.69256591796875,5.772621154785156,0.6333389282226563,1.6002120971679688,0.732452392578125,0.31707000732421875,0.261474609375,0.2887725830078125,0.481170654296875,0.9339523315429688,8188,240,590006,41,0,33514618880,35903139840,11167178752,0
200,1772138244126,62362.474365234375,4900,0,0.39375000000000004,637614.507019043,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,22.767425537109375,20.18853759765625,0.8261566162109375,4.753456115722656,1.225616455078125,5.5499267578125,0.7262420654296875,1.1394729614257813,0,0,0.075286865234375,0,100,0,0,0,0.04090118408203125,0.002105712890625,0,59.3526611328125,3.2823028564453125,0.6211166381835938,0.5694580078125,0,0.16008758544921875,0,0.20003509521484375,0.45212554931640625,0,0,0,0,8188,240,18919,42,0,33514618880,35903139840,11222908928,0
200,1772138244327,64385.959411621094,5275,0,0.31874999999999987,637623.5363311768,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,13.380294799804688,34.92735290527344,1.2024154663085938,5.737068176269531,3.3504638671875,4.98785400390625,2.7784423828125,2.9669189453125,3.0683746337890625,1.26861572265625,2.6431350708007813,0.287384033203125,34.084014892578125,0.7705917358398438,0.41829681396484375,1.949737548828125,0.6788711547851563,0.39427947998046875,0.9165802001953125,55.661678314208984,15.919075012207031,1.1115493774414063,0.8925628662109375,34.35687255859375,0.9031982421875,2.324798583984375,0.504119873046875,1.176300048828125,0.578369140625,0.6916046142578125,2.61956787109375,0.6713333129882813,8188,240,18919,42,0,33514618880,35903139840,11303686144,0
199,1772138244527,62364.66194152832,5125,0,0.34375,637633.2964172363,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,16.21735382080078,35.37126922607422,3.3786773681640625,12.459182739257813,6.189643859863281,13.416213989257813,4.29669189453125,4.3702392578125,1.332183837890625,0.42455291748046875,0.39739990234375,0.36376953125,4.686607360839844,0.31217193603515625,0.04531097412109375,0,0.217864990234375,0.42824554443359375,0.05663299560546875,20.021026611328125,8.055206298828125,0,0.1398162841796875,88.9864730834961,0.174102783203125,0.8138198852539063,1.847747802734375,2.2565765380859375,1.1468048095703125,1.6254425048828125,2.3844223022460938,0.5854263305664063,8188,240,18919,42,0,33514618880,35903139840,11321741312,0
200,1772138244728,62365.43209838867,5125,0,0.34375,637641.8890228271,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,29.407821655273438,6.183723449707031,4.947471618652344,4.35760498046875,5.675773620605469,6.080162048339844,6.441558837890625,5.8934478759765625,0.8580474853515625,0.7697601318359375,1.7175827026367188,1.653533935546875,0.6727218627929688,1.3192138671875,1.0330657958984375,0.7757339477539063,0.6273880004882813,0.5959854125976563,0.5963821411132813,19.852523803710938,4.815788269042969,0.6569442749023438,0.784942626953125,99.04954528808594,0.7102432250976563,0.7783737182617188,2.3691024780273438,2.172882080078125,1.23162841796875,0.8675537109375,0.772552490234375,1.1999282836914063,8188,240,19021,42,0,33514618880,35903139840,11342139392,0
199,1772138244928,62366.20135498047,5075,0,0.38749999999999996,637650.1360015869,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,17.289443969726563,32.22003173828125,0.257659912109375,5.841583251953125,3.7211380004882813,6.537712097167969,0.4100494384765625,1.9342498779296875,0.2286376953125,0,0.07061004638671875,0.43248748779296875,0,0,0,0.09664154052734375,0.0400390625,0.3047332763671875,0.2387542724609375,51.123775482177734,4.0979766845703125,0,0.1092071533203125,99.98898315429688,0,0,1.1646652221679688,1.9860610961914063,0.01984405517578125,0.4149322509765625,0.09454345703125,0.04143524169921875,8188,240,19021,42,0,33514618880,35903139840,11347283968,0
199,1772138245129,62367.21333312988,5225,0,0.33125000000000004,637658.6636199951,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,8.139244079589844,28.929092407226563,0.79156494140625,3.6289443969726563,2.928070068359375,6.5473175048828125,0.601776123046875,1.5943832397460938,2.200653076171875,0.9459075927734375,2.73992919921875,0.8091659545898438,7.8411102294921875,0.0581512451171875,0,0.1700897216796875,0,0.05419921875,0.8664093017578125,47.33464050292969,15.129539489746094,0.8198623657226563,0.8495635986328125,72.85357666015625,0.370086669921875,0.5112762451171875,0,0.179290771484375,0.36463165283203125,0.07740020751953125,1.4941864013671875,0.4716796875,8188,240,19088,42,0,33514618880,35903139840,11382792192,0
200,1772138245329,64394.37243652344,5225,0,0.33125000000000004,637667.3745269775,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,17.157432556152344,34.290977478027344,0.9405899047851563,6.585426330566406,2.3114166259765625,9.162315368652344,1.3941116333007813,2.5345001220703125,2.8552093505859375,1.0317535400390625,2.2316513061523438,1.187255859375,20.8292236328125,2.8244552612304688,0.6069869995117188,0.4609375,0.5318984985351563,0.515228271484375,0.435211181640625,27.998046875,12.175422668457031,0.6559524536132813,0.8487319946289063,63.229515075683594,0.7822494506835938,0.7175064086914063,0.6365966796875,0.8078231811523438,0.6104202270507813,0.5261764526367188,0.4515838623046875,0.50457763671875,8188,240,19088,42,0,33514618880,35903139840,11410137088,0
