Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772143022550,98598.03590393066,5450,0,0.20625000000000004,799797.2474060059,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,5.761787414550781,3.7673721313476563,0.16788482666015625,0.34537506103515625,0.606597900390625,0.7022933959960938,0.241058349609375,0.4554443359375,0.34130096435546875,0.29883575439453125,0.05055999755859375,0.06166839599609375,68.88501739501953,0.0843505859375,0.15502166748046875,0.13961029052734375,0.1952972412109375,0.2675323486328125,0.2016448974609375,1.1066436767578125,1.0107192993164063,0.030914306640625,0.11855316162109375,4.627571105957031,0.115081787109375,0.1201629638671875,0.13787841796875,0.1629791259765625,0.06743621826171875,0.08121490478515625,0.058746337890625,0.06133270263671875,8188,240,590006,42,0,33514618880,35903139840,11237478400,0
200,1772143022550,83240.18873596191,5400,0,0.19999999999999996,799797.8296051025,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,40.18329620361328,17.34002685546875,0,0.08104705810546875,23.06226348876953,0,1.312225341796875,0,0,0,0,0,59.35716247558594,0,0,0,0,7.251739501953125,6.1524658203125,10.090011596679688,30.16571044921875,0,0,0.24744415283203125,5.377372741699219,4.511749267578125,0,0,0,0,0,0,8188,240,590006,42,0,33514618880,35903139840,11238326272,0
199,1772143022750,98599.58555603027,5200,0,0.34375,799805.686050415,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,43.64139175415039,6.129249572753906,0.5005950927734375,5.355567932128906,2.71087646484375,4.540260314941406,0.0375823974609375,2.1566238403320313,0.37162017822265625,1.9723358154296875,0.7210235595703125,0.6946640014648438,63.2484130859375,0,0,0.19606781005859375,0,0.143157958984375,0.08251190185546875,6.960533142089844,7.583221435546875,0,0,12.067672729492188,0.0844573974609375,0.28630828857421875,0.0377349853515625,0.7400360107421875,0.02550506591796875,0.0381317138671875,0.12703704833984375,0.2090911865234375,8188,240,590006,42,0,33514618880,35903139840,11475234816,0
199,1772143022950,98600.18270874023,5100,0,0.35624999999999996,799813.224899292,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,100,1.214813232421875,0.05768585205078125,3.3795166015625,0.8114242553710938,6.039924621582031,0.25518035888671875,0.44307708740234375,0.0047454833984375,0.05413818359375,0,0,35.21094512939453,0,0,0.013397216796875,0.147857666015625,0,0,0.7331466674804688,0.25353240966796875,0,0,2.7736282348632813,0.0853729248046875,0.0175933837890625,0,0.30626678466796875,0,0.0052490234375,0,0.02838897705078125,8188,240,18933,42,0,33514618880,35903139840,11533471744,0
200,1772143023151,98601.62631225586,5275,0,0.2749999999999999,799821.2320404053,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,12.908905029296875,32.48448944091797,0.7432937622070313,4.347389221191406,2.3529815673828125,9.112701416015625,0.8955764770507813,2.9702301025390625,2.3203811645507813,1.6925811767578125,0.56591796875,0.6671218872070313,10.883636474609375,0.661895751953125,0.7463302612304688,0.7507095336914063,1.0600509643554688,1.1701736450195313,1.0734939575195313,5.9920806884765625,9.657211303710938,0.7165069580078125,0.8976669311523438,60.999080657958984,1.5696182250976563,1.8630294799804688,1.070404052734375,0.9235000610351563,1.0439224243164063,1.0390472412109375,0.85943603515625,0.7383651733398438,8188,240,18933,42,0,33514618880,35903139840,11609583616,0
200,1772143023351,83245.66285705566,5250,0,0.28125,799829.4701385498,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,19.612152099609375,58.55453872680664,0.131591796875,4.091239929199219,1.047607421875,7.419532775878906,0.14357757568359375,1.6952896118164063,0.8964385986328125,0.8168792724609375,0.628753662109375,1.7335433959960938,54.2991943359375,0.20780181884765625,0.11266326904296875,0.06652069091796875,0.07550811767578125,0.27677154541015625,0.5954437255859375,7.251686096191406,7.8049774169921875,0.05633544921875,0.05623626708984375,8.430381774902344,1.5243377685546875,4.0005950927734375,0.4305877685546875,0.8836517333984375,0.113616943359375,0.1932220458984375,0.08554840087890625,0.2811126708984375,8188,240,18933,42,0,33514618880,35903139840,11636547584,0
200,1772143023551,98604.57719421387,5100,0,0.34999999999999987,799836.9251251221,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,6.2305755615234375,24.098846435546875,0.7348785400390625,1.3598175048828125,1.8033065795898438,2.8187637329101563,0,0.6220321655273438,0,0,0,0,17.339111328125,0,0,0,0,0,0,2.1150741577148438,1.8627853393554688,0.01041412353515625,0,81.15877532958984,0,0,0,0.02788543701171875,1.7322616577148438,0.0306396484375,0,0,8188,240,18935,43,0,33514618880,35903139840,11653160960,0
199,1772143023752,98605.29618835449,5025,0,0.39375000000000004,799844.8020172119,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,100,0.7447280883789063,0.9425582885742188,5.018402099609375,2.2380752563476563,5.667427062988281,1.6686782836914063,0.9011459350585938,0.5471954345703125,0.39251708984375,0.581817626953125,0.31273651123046875,40.4534912109375,0.2038726806640625,1.3690567016601563,0.17498016357421875,0.665191650390625,0.48741912841796875,0.3987579345703125,2.3334732055664063,5.6092529296875,0.05298614501953125,0.20122528076171875,1.4673538208007813,0.5732421875,0.5868606567382813,0.46926116943359375,0.8060455322265625,0.758148193359375,0.29053497314453125,0.23749542236328125,0.39002227783203125,8188,240,18935,43,0,33514618880,35903139840,11650715648,0
199,1772143023952,83249.01054382324,5325,0,0.25,799852.538269043,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,7.0153656005859375,31.209854125976563,1.0241622924804688,3.5806121826171875,1.1214370727539063,8.306068420410156,0.19478607177734375,2.0192184448242188,0.6996536254882813,0.8835067749023438,0.0227203369140625,0.32785797119140625,6.929328918457031,0.068603515625,0.0957183837890625,0.31188201904296875,0.9520111083984375,0.34598541259765625,0.9443740844726563,5.745384216308594,8.293739318847656,0.03530120849609375,0.02197265625,70.91387176513672,0.8541946411132813,0.3783416748046875,0.5284347534179688,1.077392578125,0.07879638671875,0.3851776123046875,0.03515625,0.0795440673828125,8188,240,18947,43,0,33514618880,35903139840,11681648640,0
199,1772143024152,98608.38334655762,5325,0,0.28125,799860.647644043,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,3.5628890991210938,53.15070724487305,0.9738845825195313,6.619598388671875,1.9501571655273438,17.075729370117188,0.938446044921875,5.520050048828125,0.7439346313476563,1.493682861328125,0.6049957275390625,0.7530288696289063,1.6976394653320313,0.6595306396484375,0.811187744140625,0.558074951171875,0.5629959106445313,0.6557998657226563,0.9619522094726563,4.022987365722656,6.973670959472656,0.640838623046875,0.7030258178710938,71.5969467163086,0.604949951171875,0.5593643188476563,0.6357650756835938,1.0459136962890625,0.6701202392578125,1.214324951171875,0.5770111083984375,0.561553955078125,8188,240,18947,43,0,33514618880,35903139840,11711156224,0
