Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772136389172,51845.46405029297,5375,0,0.23124999999999996,569454.4426116943,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,12.052330017089844,6.742462158203125,1.0259017944335938,1.2509078979492188,2.826995849609375,2.26495361328125,0.655517578125,1.0726776123046875,0.0969085693359375,0.34520721435546875,0.29198455810546875,0.11591339111328125,3.0156402587890625,0.1533203125,0.17826080322265625,0.16510772705078125,0.06153106689453125,0.4439697265625,0.45679473876953125,4.065330505371094,7.049468994140625,0.08896636962890625,0.0628204345703125,68.01875305175781,1.94366455078125,0.08754730224609375,0.37648773193359375,0.42426300048828125,0.1767425537109375,0.22021484375,0.42128753662109375,0.22722625732421875,8188,240,590006,41,0,33514618880,35903139840,9686102016,0
200,1772136389172,51845.53242492676,5350,0,0.20625000000000004,569455.0420684814,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,30.620643615722656,35.705902099609375,6.487327575683594,5.552070617675781,19.74040985107422,5.587593078613281,4.244194030761719,7.410194396972656,5.62890625,6.604644775390625,7.838165283203125,9.206352233886719,45.126243591308594,4.489570617675781,5.096832275390625,4.487922668457031,4.487922668457031,7.729103088378906,7.396148681640625,26.473114013671875,33.10254669189453,4.483787536621094,4.482963562011719,21.82408905029297,5.677650451660156,4.482139587402344,4.701080322265625,4.24749755859375,4.4342193603515625,4.6275482177734375,7.8786468505859375,5.052215576171875,8188,240,590006,41,0,33514618880,35903139840,9686667264,0
199,1772136389373,53257.13246154785,5250,0,0.28125,569463.1841583252,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,58.77210235595703,11.468536376953125,1.9313735961914063,3.301788330078125,5.638435363769531,4.8641204833984375,1.1590957641601563,0.97174072265625,0.6357040405273438,0.9841995239257813,0.44641876220703125,1.5941925048828125,36.59674072265625,0.6731185913085938,1.1841049194335938,0.2220916748046875,0.23236083984375,0.34815216064453125,0.438079833984375,3.393157958984375,11.809486389160156,0.28194427490234375,0.33460235595703125,22.459243774414063,1.9478988647460938,0.24517059326171875,0.9099044799804688,0.469940185546875,0.33306121826171875,0.6868209838867188,0.8741226196289063,0.37450408935546875,8188,240,590006,41,0,33514618880,35903139840,9922338816,0
200,1772136389573,53257.74203491211,5050,0,0.3687499999999999,569470.6899414063,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,35.06243896484375,6.631095886230469,0.47776031494140625,5.1751861572265625,1.6677627563476563,5.916557312011719,0.47446441650390625,1.2569427490234375,0.1829833984375,0.17163848876953125,0.28194427490234375,0.145263671875,100,0.2358856201171875,0.33344268798828125,0.0976104736328125,0.09755706787109375,0.18947601318359375,0.14292144775390625,0.9514236450195313,0.6971588134765625,0.13092803955078125,0.12383270263671875,0.10100555419921875,2.1309432983398438,0.19781494140625,0.7587509155273438,0.17029571533203125,0.5790176391601563,0.17488861083984375,0.49005126953125,0.21624755859375,8188,240,590006,41,0,33514618880,35903139840,9976860672,0
200,1772136389773,53258.543869018555,5200,0,0.31874999999999987,569478.8282318115,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,5.769721984863281,30.19384002685547,1.3221511840820313,3.839111328125,1.7508163452148438,9.762947082519531,0.48358154296875,3.0351791381835938,0.2841644287109375,0.26904296875,0,0.15311431884765625,16.407730102539063,0.9339218139648438,1.6133651733398438,0.4823760986328125,0.19095611572265625,0,0.6815948486328125,5.642486572265625,9.436294555664063,0,0,65.60685729980469,1.9545440673828125,0.7415618896484375,0.5605621337890625,0.6384963989257813,0.43888092041015625,0.679595947265625,0.6318893432617188,0.9897384643554688,8188,240,19112,41,0,33514618880,35903139840,10057588736,0
200,1772136389973,30163.804763793945,5100,0,0.34375,569486.9874420166,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,37.26276397705078,12.522872924804688,1.7144393920898438,4.815223693847656,1.94659423828125,8.307365417480469,0.148284912109375,2.6693038940429688,0.283843994140625,0.150177001953125,0.043853759765625,0.12194061279296875,0.05109405517578125,0.27765655517578125,0.4312286376953125,0.591888427734375,0.48122406005859375,1.3502655029296875,0.49544525146484375,3.3252029418945313,5.392387390136719,0.0431060791015625,0.043060302734375,96.37274169921875,1.9917449951171875,0.143890380859375,0.5630950927734375,0.6214218139648438,0.438262939453125,0.6275634765625,0.34710693359375,0.16814422607421875,8188,240,19112,41,0,33514618880,35903139840,10072121344,0
200,1772136390174,53260.0559387207,5225,0,0.32499999999999996,569495.161239624,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,50.10554885864258,3.5048065185546875,0,5.510810852050781,0.12938690185546875,9.444740295410156,0.2683563232421875,2.190704345703125,0,0,0,0,0,0,0,0,0,0.8242263793945313,0.11133575439453125,6.4448699951171875,6.171478271484375,0,0,97.75068664550781,2.7354049682617188,0.5846481323242188,0.3558502197265625,1.104705810546875,0,0.03307342529296875,1.0266952514648438,1.9040451049804688,8188,240,19307,41,0,33514618880,35903139840,10075676672,0
199,1772136390374,51855.466567993164,5275,0,0.3374999999999999,569502.4873962402,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,8.489334106445313,33.559600830078125,1.231781005859375,2.6828842163085938,1.2167587280273438,6.03607177734375,1.0288848876953125,1.0166397094726563,0.46575927734375,0.455657958984375,0.7734375,0.5441665649414063,0.4658050537109375,0.482421875,0.485809326171875,0.42406463623046875,0.42401123046875,0.4531707763671875,0.4417266845703125,2.4924697875976563,2.4122695922851563,0.46764373779296875,0.47978973388671875,89.41419219970703,2.9844970703125,0.6644744873046875,0.671844482421875,1.3897552490234375,0.6311874389648438,0.960968017578125,0.7986679077148438,0.5256576538085938,8188,240,19307,41,0,33514618880,35903139840,10092916736,0
200,1772136390575,53261.78569030762,5300,0,0.3062499999999999,569510.8310394287,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2.99658203125,41.090633392333984,0.9463653564453125,7.098968505859375,0.6105270385742188,18.818260192871094,0.34502410888671875,2.5497817993164063,0.27988433837890625,0.4788970947265625,0.28876495361328125,0.5253219604492188,17.176307678222656,0.5297164916992188,0.3324432373046875,0.9272994995117188,0.24953460693359375,0.48358917236328125,0.318817138671875,5.3789520263671875,10.723655700683594,0.1335296630859375,0.1335296630859375,68.52567291259766,1.9349594116210938,0.50091552734375,0.52691650390625,1.1706390380859375,0.7741546630859375,0.3997344970703125,0.26410675048828125,0.3843536376953125,8188,240,19366,41,0,33514618880,35903139840,10126594048,0
199,1772136390775,53262.85380554199,5175,0,0.34999999999999987,569519.4081878662,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,6.862800598144531,42.314693450927734,1.7541961669921875,8.856643676757813,0.42236328125,18.08869171142578,0,4.866859436035156,0,0.08925628662109375,0.13616943359375,0.14487457275390625,0.66046142578125,0,0,0,0,0.198944091796875,0.1962432861328125,2.9728851318359375,5.569267272949219,0,0,85.9122543334961,1.2420730590820313,0,1.143646240234375,0.8344192504882813,0,0,0,0,8188,240,19366,41,0,33514618880,35903139840,10150576128,0
