Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772132567038,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.24853515625,0,0,0,0,0.02227020263671875,0.6842498779296875,0.7736434936523438,0.7472381591796875,0.7214202880859375,0.4188690185546875,0.24190521240234375,0.3666839599609375,0,18.270347595214844,0,55.77392578125,0,0.009368896484375,0,0,8151,341,8118,45,0,165458.02630615234,91436.12951660156,623.75146484375,34053414912,2147483648,7706955776,0
200,1772132567038,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0,0,0,0,0,0,3.7522201538085938,2.2987823486328125,8.190086364746094,1.8867340087890625,0,0,4.594932556152344,0,32.736915588378906,0,69.29439544677734,0,0,0,0,8151,341,8118,45,0,165459.54943847656,91437.35870361328,623.75146484375,34053414912,2147483648,7722655744,0
200,1772132567238,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,3.9609756469726563,2.881500244140625,4.542335510253906,2.8799057006835938,2.9261932373046875,2.8992233276367188,6.038238525390625,4.0325927734375,4.105369567871094,3.5163192749023438,3.6506881713867188,2.93389892578125,26.52519989013672,2.8969039916992188,51.56621170043945,2.8978195190429688,58.170265197753906,2.889251708984375,7.891639709472656,2.89239501953125,0,8151,341,8118,45,0,165464.54418945313,91440.56005859375,623.75146484375,34053414912,2147483648,7794905088,0
200,1772132567439,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.27457427978515625,0.16388702392578125,4.527565002441406,0.16329193115234375,0.20081329345703125,0.1768646240234375,2.1313858032226563,0.7089004516601563,1.7599411010742188,1.5091705322265625,1.1265029907226563,1.2655868530273438,14.093826293945313,0.17955780029296875,52.16736602783203,0.19921875,77.6182861328125,0.167327880859375,4.737815856933594,0.17841339111328125,0,8151,341,8404,44,0,165469.9605102539,91444.24969482422,623.75146484375,34053414912,2147483648,7861166080,0
200,1772132567639,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.1099700927734375,0.0573577880859375,0.178863525390625,0.055908203125,0.1871490478515625,0.224884033203125,1.6130523681640625,1.0843048095703125,0.8459396362304688,0.718841552734375,0.41059112548828125,1.8043441772460938,17.136001586914063,0.06484222412109375,70.67453002929688,0.05910491943359375,54.39070510864258,0.05615997314453125,18.189857482910156,0.0637969970703125,0,8151,341,8404,44,0,165475.53356933594,91448.08386230469,623.75146484375,34053414912,2147483648,7891046400,0
200,1772132567839,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0,0,0.39812469482421875,0,0,0,3.3970260620117188,0.2445220947265625,0.8199844360351563,0.0456085205078125,0.16834259033203125,0,11.429229736328125,0,35.411346435546875,0,84.2834243774414,0,0.9704437255859375,0,0,8151,341,8404,44,0,165482.2885131836,91453.29675292969,623.75146484375,34053414912,2147483648,7916261376,0
200,1772132568040,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.46405029296875,0.20233154296875,1.103363037109375,0.21155548095703125,0.6708755493164063,0.29218292236328125,5.077301025390625,3.049224853515625,0.6768035888671875,0.4267578125,0.6098480224609375,0.35146331787109375,9.164718627929688,0.206024169921875,68.16143798828125,0.18059539794921875,63.946224212646484,0.181793212890625,1.1916656494140625,0.20317840576171875,0,8151,341,8619,45,0,165488.05786132813,91457.40692138672,623.75146484375,34053414912,2147483648,7929487360,0
200,1772132568240,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,2.9590682983398438,0,7.353179931640625,0,0,0,4.882179260253906,3.81744384765625,2.5147018432617188,0.587249755859375,0.21454620361328125,0.006988525390625,12.366447448730469,0,34.76427459716797,0,88.8752212524414,0,5.278953552246094,0,0,8151,341,8619,45,0,165494.45556640625,91462.22491455078,623.75146484375,34053414912,2147483648,7938277376,0
199,1772132568440,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.034210205078125,0.00684356689453125,0.5078582763671875,0.00614166259765625,0.00609588623046875,0.00604248046875,5.042427062988281,1.4716873168945313,1.9592208862304688,0.45357513427734375,0.10301971435546875,0.00543975830078125,28.776260375976563,0.00664520263671875,55.9906005859375,0.006591796875,70.91877746582031,0.00849151611328125,9.636215209960938,0.01473236083984375,0,8151,341,8540,45,0,165500.9210205078,91466.99432373047,623.75146484375,34053414912,2147483648,7977115648,0
200,1772132568640,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,1496,2600,2600,1496,2600,1496,2600,0.1159820556640625,0.05007171630859375,1.3125991821289063,0.00054931640625,0.000396728515625,0.0001983642578125,1.967681884765625,0.41796112060546875,0.6682205200195313,0.25665283203125,0.173248291015625,1.8628921508789063,26.58740997314453,0.04972076416015625,58.79296875,0.0115966796875,83.54676818847656,0.0055999755859375,5.2367706298828125,0.0010986328125,0,8151,341,8540,45,0,165507.48455810547,91471.73181152344,623.75146484375,34053414912,2147483648,8002076672,0
