Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772132430000,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,3.3800735473632813,0,4.302330017089844,0,0.8223724365234375,0.1468353271484375,0.0289459228515625,0,0,0,1.0455322265625,0.6709747314453125,1.1479721069335938,0,13.411277770996094,0,68.01560974121094,0,0.4169769287109375,0,0,8151,341,8811,48,1,164620.4564819336,91086.94958496094,623.6007080078125,34053414912,2147483648,9364803584,0
200,1772132430000,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,32.571990966796875,20.536941528320313,36.287818908691406,20.533721923828125,29.42877960205078,29.85301971435547,25.662063598632813,24.915367126464844,39.60886764526367,23.801742553710938,34.70817565917969,23.885841369628906,21.96392059326172,20.5374755859375,89.18302154541016,20.5374755859375,51.26789093017578,20.511764526367188,21.173828125,20.512298583984375,0,8151,341,8811,48,1,164620.7840576172,91087.0726928711,623.6007080078125,34053414912,2147483648,9366802432,0
200,1772132430201,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,28.310882568359375,1.0205154418945313,24.71410369873047,1.025054931640625,6.64862060546875,1.943206787109375,1.2610702514648438,1.343475341796875,1.0339736938476563,1.0297317504882813,4.5216827392578125,2.3209686279296875,7.626502990722656,1.0381622314453125,52.77097702026367,1.0080490112304688,30.16192626953125,1.0186920166015625,1.1555557250976563,1.0089340209960938,0,8151,341,8811,48,1,164625.09338378906,91089.86291503906,623.6007080078125,34053414912,2147483648,9392758784,0
200,1772132430401,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,3.1316375732421875,0.2762908935546875,7.853279113769531,0.2805328369140625,1.3364181518554688,1.0372314453125,0.9460983276367188,0.6047592163085938,0.4354095458984375,0.38922119140625,2.412353515625,2.1505279541015625,0.7764968872070313,0.269805908203125,29.64434051513672,0.278839111328125,81.3152847290039,0.2714996337890625,0.6162796020507813,0.26880645751953125,0,8151,341,9229,47,1,164631.24603271484,91094.4330444336,623.6007080078125,34053414912,2147483648,9469911040,0
200,1772132430601,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,9.892166137695313,0.112579345703125,26.23028564453125,0.092010498046875,1.800933837890625,1.13909912109375,0.301788330078125,1.1335601806640625,2.196075439453125,0.25970458984375,4.551910400390625,1.1745986938476563,0.536773681640625,0.09735107421875,54.60083770751953,0.08477020263671875,67.81270599365234,0.0798797607421875,0.34896087646484375,0.09410858154296875,0,8151,341,9229,47,1,164636.65411376953,91098.14025878906,623.6007080078125,34053414912,2147483648,9519804416,0
200,1772132430802,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,4.7385406494140625,0.02764892578125,15.205978393554688,0.035186767578125,2.5068511962890625,0.728759765625,0.17893218994140625,0.2084808349609375,1.3384246826171875,0.0434722900390625,4.3946533203125,1.72039794921875,0.9587020874023438,0.028900146484375,32.559043884277344,0.01572418212890625,82.00337219238281,0.01576995849609375,0.11299896240234375,0.027801513671875,0,8151,341,9229,47,1,164642.93060302734,91102.82287597656,623.6007080078125,34053414912,2147483648,9546215424,0
200,1772132431002,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,1.5291900634765625,0,27.37409210205078,0,0.8774490356445313,0.36452484130859375,0.0493316650390625,1.534820556640625,1.5447006225585938,0.33873748779296875,1.0616073608398438,1.1559829711914063,0.6204605102539063,0,31.364234924316406,0,87.3848648071289,0,0.0977630615234375,0,0,8151,341,9837,47,0,164649.5609741211,91107.87097167969,623.6007080078125,34053414912,2147483648,9556729856,0
199,1772132431203,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,3.8613052368164063,0.064208984375,6.783164978027344,0.0005950927734375,4.478569030761719,0.8957977294921875,0.26221466064453125,0.4072418212890625,0.24405670166015625,0.2095794677734375,2.9197158813476563,1.2589340209960938,0.3728179931640625,0.04949188232421875,41.09733200073242,0.055572509765625,68.58119201660156,0.04863739013671875,0.1074066162109375,0.048492431640625,0,8151,341,9837,47,0,164654.33129882813,91111.04901123047,623.6007080078125,34053414912,2147483648,9581395968,0
199,1772132431403,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,5.896949768066406,0.147552490234375,8.587005615234375,0.1620025634765625,3.5465011596679688,0.4061279296875,0.21378326416015625,0.3428955078125,0.16840362548828125,0.41347503662109375,4.031455993652344,1.6953964233398438,0.982208251953125,0.14745330810546875,35.114341735839844,0.161651611328125,86.23828125,0.15185546875,0.470062255859375,0.1476593017578125,0,8151,341,9375,47,0,164659.45623779297,91114.69274902344,623.6007080078125,34053414912,2147483648,9623048192,0
199,1772132431603,1496,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1496,2600,2600,2600,2600,2600,2600,2600,10.247001647949219,0.09082794189453125,26.00957489013672,0.0848846435546875,3.01971435546875,0.4292755126953125,0.30126953125,0.12281036376953125,0.14069366455078125,0.1903533935546875,6.13885498046875,2.7930374145507813,0.744537353515625,0.08968353271484375,42.96234893798828,0.08008575439453125,80.69934844970703,0.06999969482421875,0.1549835205078125,0.08898162841796875,0,8151,341,9375,47,0,164665.3397216797,91118.7001953125,623.6007080078125,34053414912,2147483648,9650360320,0
